,Unnamed: 0,artist,genre,title,lyrics,word_num
0,0,Justin Timberlake,pop,Mirrors,"Aren't you somethin' to admire? 'Cause your shine is somethin' like a mirror And I can't help but notice You reflect in this heart of mine If you ever feel alone and The glare makes me hard to find Just know that I'm always Parallel on the other side  'Cause with your hand in my hand and a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the past I'm here tryna pull you through You just gotta be strong  I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along It's like you're my mirror (Oh) My mirror staring back at me  (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror staring back at me, staring back at me  Aren't you somethin', an original? 'Cause it doesn't seem merely assembled And I can't help but stare, 'cause I see truth somewhere in your eyes I can't ever change without you You reflect me, I love that about you And if I could, I Would look at us all the time  'Cause with your hand in my hand and a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the past I'm here tryna pull you through You just gotta be strong  I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along It's like you're my mirror (Oh) My mirror staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror staring back at me, staring back at me  Yesterday is history, oh Tomorrow's a mystery, oh I can see you lookin' back at me Keep your eyes on me Baby, keep your eyes on me  'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now (You show me, baby) And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along It's like you're my mirror (Oh) My mirror staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror staring back at me, staring back at me  Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh ohh (Oh oh, oh oh) Uhh (Oh oh, oh oh) Ohh (Oh oh, oh oh)  You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life  Now, you're the inspiration of this precious song And I just wanna see your face light up since you put me on So now I say goodbye to the old me, it's already gone And I can't wait, wait, wait, wait, wait to get you home Just to let you know, you are  You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life  Girl, you're my reflection, all I see is you My reflection, in everything I do You're my reflection and all I see is you My reflection, in everything I do  You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life",968
1,1,Justin Timberlake,pop,Suit & Tie,"Ooh-oh I be on my suit and tie, shit tied, shit tied I be on my suit and tie, shit tied, shit Can I show you a few things? A few things, a few things, little baby ‘Cause I be on my suit and tie, shit tied, shit I be on my suit and tie, shit tied, shit Let me show you a few things Let me show you a few things Wait a minute You ready, JT?  I can't wait 'til I get you on the floor, good-lookin' Going hot, so hot, just like an oven And ow! Burned myself, but just had to touch it And it's so so fine, and it's all mine Hey, baby, we don't mind all the watching (High) ‘Cause if they study close, real close They might learn something She ain't nothing but a little doozy when she does it She's so fire tonight  And as long as I've got my suit and tie I'ma leave it all on the floor tonight And you got fixed up to the nines Let me show you a few things (Show you a few things) All pressed up in black and white And you're dressed in that dress I like Love is swinging in the air tonight Let me show you a few things (Show you a few things) Let me show you a few things Show you a few things about love Now we’re in the swing of love Let me show you a few things Show you a few things Show you a few things about love, hey  Stop, let me get a good look at it So thick, now I know why they call it a fatty And ow! Shit so sick got a hit and picked up a habit That's alright, ‘cause you're all mine (You're all mine) Go on and show 'em who you call daddy I guess they're just mad ‘Cause, girl, they wish they had it My killer, my Thriller, yeah, you're a classic And you're all mine, tonight  And as long as I've got my suit and tie I'ma leave it all on the floor tonight And you got fixed up to the nines Let me show you a few things All pressed up in black and white And you're dressed in that dress I like Love is swinging in the air tonight Let me show you a few things Let me show you a few things Show you a few things about love Now we’re in the swing of love Let me show you a few things Show you a few things about love, hey  Get out your seat, Hov!  Uh! All black at the white shows White shoes at the black shows Green card for the Cuban linx Y'all sit back and enjoy the light show Nothing exceeds like excess Stoute got gout from having the best of the best Is this what it's all about? I'm at the rest- …aurant with my rant disturbing the guests Years of distress, tears on the dress Try to hide her face with some makeup sex Uh! This is truffle season Tom Ford tuxedos for no reason All Saints for my angel, Alexander Wang too Ass-tight denim and some Dunks I'll show you how to do this young, uh! No papers, catch vapors Get high, out Vegas D'USSÉ's on doubles, ain't looking for trouble You just got good genes so a nigga tryna cuff you Tell your mother that I love her ‘cause I love you Tell your father we go farther as a couple They ain't lose a daughter, got a son I show you how to do this, huh! Uh  And as long as I've got my suit and tie I'ma leave it all on the floor tonight And you got fixed up to the nines Let me show you a few things (Show you a few things) All pressed up in black and white And you're dressed in that dress I like Love is swinging in the air tonight Let me show you a few things (Show you a few things) Let me show you a few things (A few things) Show you a few things about love, love, love Let me show you a few things (A few things) Show you a few things about love, hey Ow!",723
2,2,Justin Timberlake,pop,Say Something,"Mhmm, yeah, alright Ooh  Everyone knows all about my direction And in my heart somewhere I wanna go there Still, I don't go there  Everybody says, ""say something that says something” “Say something that says something” “Say something that says something” I don't wanna get caught, up in the rhythm of it But I can't help myself, no, I can't help myself, no, no Caught up in the middle of it No, I can't help myself, no I can't help myself, no, no, no Caught up in the rhythm of it  Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have  Everyone knows all about my transgressions Still in my heart somewhere, there's melody and harmony For you and me, tonight (whoa) I hear them call my name  Everybody says, ""Say something"" Then, ""Say something, say something"" Then, ""Say something, say something"" Then, ""Say something"" I don't want to get caught up in the rhythm of it But I can't get help myself, no I can't help myself, no, no Caught up in the middle of it No, I can't help myself, no I can't help myself, no, no, no Caught up in the rhythm of it  Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)  Sometimes, the greatest way to say something is to say nothing at all Sometimes, the greatest way to say something is to say nothing at all Sometimes, the greatest way to say something is to say nothing  But I can't help myself, no I can't help myself, no, no Caught up in the middle of it No, I can't help myself, no I can't help myself, no, no, no Caught up in the rhythm of it  Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have) Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)  Sometimes the greatest way to say something is to say nothing at all Sometimes the greatest way to say something is to say nothing at all Sometimes the greatest way to say something is to say nothing",452
3,3,Justin Timberlake,pop,Pusher Love Girl,"Hey little mama Ain't gotta ask me if I want to Tell me, can I get a light? Roll you up and let it run through my veins 'Cause I can always see the farthest stars when I'm on you I don't wanna ever come down from this cloud of loving you  'Cause now you got me hopped up on that Pusher love So high, I’m on the ceiling, baby You're my drug So gon' and be my dealer, baby Roll me up 'Cause all I want is you, baby One more time Pusher girl So high, I’m on the ceiling, baby Be my drug So gon' and be my dealer, baby Hook me up All I want is you, baby You're my little pusher love girl, ain't ya? Just my little pusher love girl  Now hey little mama I love this high we're on to And I know that your supply Won't run out anytime soon You gave me a taste, now I know that there's no getting off you I don't wanna ever come down off this cloud of lovin' you  'Cause now you got me hopped up on that Pusher love So high, I’m on the ceiling, baby You're my drug So gon' and be my dealer, baby Roll me up 'Cause all I want is you, baby One more time Pusher girl So high, I’m on the ceiling, baby Be my drug So gon' and be my dealer, baby Hook me up All I want is you, baby You're my little pusher love girl, ain't ya? Just my little pusher love girl  Since you came around I've been living a different life And I don't wanna come down From this love I got on high And people call me a user But I want you to go on and use me too Nothing else will do All I want is you babe, I know Baby, you know who you are  Now you got me hopped up on that Pusher love So high, I’m on the ceiling, baby You're my drug So gon' and be my dealer, baby Roll me up Cause all I want is you, baby One more time Pusher girl So high, I’m on the ceiling, baby Be my drug So gon' and be my dealer, baby Hook me up All I want is you baby, one more time 'Cause now you got me hopped up on that Pusher love So high, I’m on the ceiling, baby You're my drug So gon' and be my dealer, baby Roll me up 'Cause all I want All I want All I want is you, baby Pusher girl So high, I’m on the ceiling, baby Be my drug So gon' and be my dealer, baby Hook me up All I want is you, baby, yeah You're my little pusher love girl So sweet, yes you are (Ooh, ooh, ooh, yeah) Just my little pusher love girl, ain't ya? (Ooh, ooh, ooh, yeah) She's my little pusher love girl  Sing it, pusher love I'm just a, junkie for your love I'm just a, junkie for your love (C'mon) Now I'm just a, junkie for your love (I'm hopped up on it) And now I'm just a junkie for your love (Break it down) My heroine, my cocaine, my plum wine, my MDMA I'm hopped up on it, it won't go away Now I can't wait 'til I get home and get you in my veins (Pusher love) I'm just a, junkie for your love (I'm hopped up on it) And now I'm just a, junkie for your love (Pusher love) I'm just a, junkie for your love (I'm hopped up on it) And now I'm just a, junkie for your love Uh, my nicotine, my blue dream, my hydroponic candy jelly bean Did you fix me up, I'm your number one fiend Be my little pill and just creep into my bloodstream Bloodshot eyes, I'm hopped up on it You ain't gotta think twice, just hop up on it There's a million names for your kind of chronic Uh, that pusher love, that's what I call it (Pusher love) I'm just a, junkie for your love (I'm hopped up on it) Now I'm just a, junkie for your love Let me hear you say (pusher love) Now I'm just a, junkie for your love (I'm hopped up on it) And now I'm just a, junkie for your love (Pusher love) (Pusher love) (Pusher love)",746
4,4,Justin Timberlake,pop,True Colors,"You with the sad eyes Don't be discouraged, oh I realize It's hard to take courage In a world full of people You can lose sight of it all The darkness inside you Can make you feel so small  Show me a smile then Don't be unhappy Can't remember when I last saw you laughing This world makes you crazy And you've taken all you Can bear Just, call me up 'Cause I will always be there  And I see your true colors Shining through I see your true colors And that's why I love you  So don't be afraid to let them show Your true colors True colors are beautiful I see your true colors Shining through (true colors) I see your true colors And that's why I love you So don't be afraid to let them show Your true colors True colors are beautiful Like a rainbow Oooooh oooooh oooh like a rainbow  Can't remember when I last saw you laughing Oooooh This world makes you crazy Taking all you can bear Just, call me up 'Cause I'll be always be there  And I see your true colors Shining through I see your true colors And that's why I love you So don't be afraid (don't be afraid) To let them show Your true colors True colors are beautiful Like a rainbow (Oooh) Like a rainbow Oooh",229
5,5,Justin Timberlake,pop,Filthy,"Hey, if you know what's good If you know what's good If you know what's good If you know what's good Hey, if you know what's good If you know what's good  Haters gonna say it's fake So real Haters gonna say it's fake So real Haters gonna say it's fake So real All my haters gonna say it's fake I guess I got my swagger back  I said, ""put your filthy hands all over me"" You know this ain't the clean version And what you gonna do with all that meat? Cooking up a mean serving, huh  No question, I want it Fire up, everybody smokin' Your friends, my friends and they ain't leaving till six in the morning Six in the morning Come chill, baby, you the coldest Go for 'em, put 'em on notice You don't wanna walk through here  Baby, don't you mind if I do, yeah Exactly what you like times two, yeah Got me singing, ""ooh, ooh"" So, baby, don't you mind if I do  Look, put your filthy hands all over me You know this ain't the clean version And what you gonna do with all that beast? When I leave the cage open, huh, walk to me, uh  No question, I want it Fire up, everybody smokin' Your friends, my friends and they ain't leaving till six in the morning Six in the morning Come chill, baby, you the coldest Go for 'em, put 'em on notice You don't wanna walk through here  Baby, don't you mind if I do, yeah Exactly what you like times two, yeah Got me singing, ""ooh, ooh"" So, baby, don't you mind if I do  Come on, break it down If you know what's good If you know what's good If you know what's good If you know what's good Hey, if you know what's good If you know what's good  Haters gonna say it's fake So real Haters gonna say it's fake So real Haters gonna say it's fake So real All my haters gonna say it's fake  Baby, don't you mind if I do (I do) Exactly what you like times two (times two) Got me singing, ""ooh, ooh"" Baby, don't you mind if I do (if I do, come on)  Your friends, my friends and they ain't leaving till six in the morning Six in the morning, m-m-morning Your friends, my friends and they ain't leaving till six in the morning Six in the morning  So put your filthy hands all over me You know this ain't the clean version Go on and put your filthy hands all over me No, this ain't the clean version  Do you see me? Can you find me? Look closer, through the trees Do you see it?",460
6,6,Justin Timberlake,pop,TKO (Black Friday Remix),"I don't understand it Tell me, how could you be so low? (And all in thrilling, new, living sound) Dammit babe (Dammit babe, dammit babe, dammit babe, dammit babe)  Blood thicker than water, right Fuck bitches, they all alike Stand up nigga, not the fallin' type Heart blacker than a Harlem night Til I met you, they say the devil wear Prada But I doubt it cause the Lord did bless you Damn look at that body Short bus shorty, cause it sure is special Cole to the rescue, never save a ho Hoes like to hide their behavior though Thought you was a down ass bitch 'til I found that shit a couple days ago I was home alone, next thing I know That long ass verse from a song called ""Control"" was on The room got nearer, the tune got clearer That's when I seen the shit playing on your phone Girl, what is that, a ringtone? Shit, not you too Man that hype done got you too Everybody and their momma gassed Even my momma asked what I'mma do Decisions, decisions In case this is war, then I load up on all ammunition If a nigga want problems, my trigger's on auto I'll make sure that nobody miss him Now pack up your shit, you don't believe in me? I don't need you, I got me, bitch Same nigga moved to NYC, bitch Got a record deal and a college degree, bitch Two gold plaques, I produced all the tracks And I never ever ever lean on Jay-Z, bitch And after all that achievement Real nigga never even went and got his teeth fixed Now you try to play me, bitch? You try to fuckin' play me? I ought to knock your ass out  TKO, I don't understand it, tell me how could you be so low damn(take out) You've been swingin' after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit babe (Dammit babe, dammit babe, dammit babe, dammit babe)  All hail Pretty Flacko, bitch, celebrate it Had the game on lock, streets serenaded Now you lame mothafuckas lookin' devastated Bet you niggas wish you never hated, that's the devil ain't it Fuck that shit, he rich, fuck that shit, he this, fuck that shit, he that He black, he don't like blacks, fuck that shit, he wack Fuck that shit he raps, fuck that shit he spits, fuck that bitch Fuck that bitch he with, finished talking shit? Get up off my dick The nonsense is synonymous with comments from the blogs about Menages with the gossips and the bosses, fuck surprises I'm monogamous and not to mention, in my closet Is a model chick, grimey gothic fits, trapped inside of it Besides it I'd deny the shit shit, y'all should stop the shit I'm the shit, not just kinda sick, the doc prescribed my shit Cock it, click-click, opposite, stop and droppin' shit 'fore poppin' shit, from popular to poppin' picks to poppin' tits She pop her pussy, pop a Xanny, popular for compliments Make it rain, she pop that shit, it boosts her confidence Was supposed to stop this shit but spit like I forgot some shit Forgot the topic, I hope God forgive you, peep my common sense  TKO, I don't understand it, tell me how could you be so low You've been swingin' after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit babe (Dammit babe, dammit babe, dammit babe, dammit babe)  JT this like deja vu right? All this album of the year talk, niggas claimin' they're the best out I been hot since the Purple Tape and this cuban's poking my chest out They keep callin' on King Push, this beach chair, I'm stretched out My name is my name, bitch, until I'm gone and it's etched out I been known to blow a quarter brick on baby hairs and a messy bun If I make her mine, I made her mind, she fall in line and we got some Memoirs of a millionaire, even better I'm a reallionaire Alaïa skirt, Fendi work, dress my baby like build-a-bear Fuck you know about the type of rollie? Fuck you know about blowin' bands? Bezel on it like a grand circle, diamonds in it, holdin' hands A1 since day one, I sold dope and my name rung I sold dope where I came from and it's so dope what I made from it No lie, know why? Guy Fish in my bowtie JT up in the three piece and we magic baby like showtime She ain't know, we ain't know, try to trap her but she ain't slow Once she trap you with the DA flow, it's lights out, TKO",819
7,7,Justin Timberlake,pop,TKO,"In all, enthrilling new, living sound  Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Lights out, TKO  Baby, every day in training to get the gold That’s why your body's crazy But you can’t run from yourself, that’s where it’s difficult Girl, I can see in your eyes that there’s something inside that made you evil Where did you go? 'Cause it just ain't fair Over here thinking 'bout the shit you say Don't know why it gets to me  It cuts right on my eye, yeah, it hurt, won't lie Still can't see, think I saw you with another guy Fair fight, knocked down, then I got over you Can't fight no more, you knock me out What am I supposed to do?  I don't understand it Tell me how could you be so low? Been swinging after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit, babe This ain't the girl I used to know No, not anymore, TKO  I’m out for the count Yeah, girl, you knock me out It's just a TKO I'm out for the count Yeah, girl, you knock me out With a TKO T-TKO Out for the count Yeah, girl, you knock me out With a TKO Now, I'm out for the count Yeah, girl, you knock me out With a TKO  Baby, now I really know what we're fighting for This rematch sex is amazing But nobody wins when if somebody’s heart is swole 'Cause when I see you move like you got something inside that made you lethal Where did you go? It just ain't fair Over here thinking 'bout the shit you do Don't know what I got to lose  It cuts right on my eye, yeah, it hurt, won't lie Still can't see, think I saw you with another guy Fair fight, knocked down, then I got over you Can't fight no more, you knock me out What am I supposed to do?  I don't understand it Tell me how could you be so low? Been swinging after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit, babe This ain't the girl I used to know No, not anymore, TKO  I’m out for the count Yeah, girl, you knock me out It's just a TKO I'm out for the count Yeah, girl, you knock me out With a TKO T-TKO Out for the count Yeah, girl, you knock me out With a TKO Now, I'm out for the count Yeah, girl, you knock me out With a TKO  Girl See what you doing See what you doing, girl? You knock me right out See what you do See what you do Girl, girl, girl... You knock me right out Hey girl See what you do See what you do Girl, girl, girl... You knock me right out Hey girl See what you do See what you do Girl, girl, girl... You knock me right out  I don't understand it Tell me how could you be so low? Been swinging after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit, babe This ain't the girl I used to know No, not anymore, TKO  Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo So dammit, babe  I’m out for the count Yeah, girl, you knock me out It's just a TKO I'm out for the count Yeah, girl, you knock me out With a TKO T-TKO Out for the count Yeah, girl, you knock me out With a TKO Now, I'm out for the count Yeah, girl, you knock me out With a TKO",687
8,8,Justin Timberlake,pop,Tunnel Vision,"I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it  Don't know why, but girl, I'm feeling close to you Maybe it's this ocean view, I'm so emotional And all these thoughts been dancing on my head For too long, too long, too long! I wrote a song for you, I wanna sing to you But every time I'm close to you The words wanna come out, but I forget It's so strong, it's so strong, it's so strong!  It might seem like I’m catching something That’s because it’s true I can't deny it, and I won't try it But I think that you know I look around and everything I see is beautiful Cause all I see is you And I can't deny it, and I stand by it And I won't hide it anymore  A crowded room anywhere A million people around all I see is you there And everything just disappears, disappears, disappears, disappears Yeah, a million people in a crowded room But my camera lens's only been set to zoom And it all becomes so clear, comes so clear, becomes so clear I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision I only see you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision I only see you, yeah  Now that I know the truth, what am I suppose to do? Changing up and breaking all my rules ever since we met I'm so gone, I'm so gone, I'm so gone Just like the movie shoot, I'm zooming in on you Everything is extra in the background, just fades into the set As we ride off into the sun  It might seem like I’m catching something That’s because it’s true I can't deny it, and I won't try it But I think that you know I look around and everything I see is beautiful Cause all I see is you And I can't deny it, and I stand by it And I won't hide it anymore!  A crowded room anywhere A million people around all I see is you there And everything just disappears, disappears, disappears, disappears Yeah, a million people in a crowded room But my camera lens's only been set to zoom And it all becomes so clear, comes so clear, becomes so clear I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision I only see you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision I only see you, yeah  Zoom, zoom, zoom Zoom, zoom, zoom In on you, in, in on you I only see you, yeah Zoom, zoom, zoom Zoom, zoom, zoom In on you, in, in on you I only see you, yeah  I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it  A crowded room anywhere A million people around all I see is you there And everything just disappears, disappears, disappears, disappears Yeah, a million people in a crowded room But my camera lens's only been set to zoom And it all becomes so clear, comes so clear, becomes so clear I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision I only see you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision for you I got that tunnel vision I only see you, yeah  I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I only see you, yeah I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I know you like it, I know you like it I only see you, yeah",862
9,9,Justin Timberlake,pop,CAN’T STOP THE FEELING!,"I got this feeling inside my bones It goes electric, wavey when I turn it on All through my city, all through my home We're flying up, no ceiling, when we in our zone  I got that sunshine in my pocket Got that good soul in my feet I feel that hot blood in my body when it drops (ooh) I can't take my eyes up off it, moving so phenomenally Room on lock, the way we rock it, so don't stop  And under the lights when everything goes Nowhere to hide when I'm getting you close When we move, well, you already know So just imagine, just imagine, just imagine  Nothing I can see but you when you dance, dance, dance A feeling good, good, creeping up on you So just dance, dance, dance, come on All those things I shouldn't do But you dance, dance, dance And ain't nobody leaving soon, so keep dancing I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance (Come on)  Ooh, it's something magical It's in the air, it's in my blood, it's rushing on I don't need no reason, don't need control I fly so high, no ceiling, when I'm in my zone  'Cause I got that sunshine in my pocket Got that good soul in my feet I feel that hot blood in my body when it drops I can't take my eyes up off it, moving so phenomenally Room on lock, the way we rock it, so don't stop  And under the lights when everything goes Nowhere to hide when I'm getting you close When we move, well, you already know So just imagine, just imagine, just imagine  Nothing I can see but you when you dance, dance, dance A feeling good, good, creeping up on you So just dance, dance, dance, come on All those things I shouldn't do But you dance, dance, dance And ain't nobody leaving soon, so keep dancing I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance (Come on) I can't stop the feeling So just dance, dance, dance I can't stop the feeling So keep dancing (Come on)  I can't stop the, I can't stop the I can't stop the, I can't stop the I can't stop the feeling  Nothing I can see but you when you dance, dance, dance (I can't stop the feeling) Feeling good, good, creeping up on you So just dance, dance, dance, come on (I can't stop the feeling) All those things I shouldn't do But you dance, dance, dance (I can't stop the feeling) And ain't nobody leaving soon, so keep dancing  Everybody sing (I can't stop the feeling) Got this feeling in my body (I can't stop the feeling) Got this feeling in my body (I can't stop the feeling) Wanna see you move your body (I can't stop the feeling) Got this feeling in my body, come on Break it down Got this feeling in my body Can't stop the feeling Got this feeling in my body, come on",525
